,name,price(eur),score,reviews_amount,review
0,Grand Baltic Dunes,77.0,8.8,4865,Excellent
1,Senoji Palanga,44.0,9.6,497,Exceptional
2,Kerpė Hotel & SPA,77.0,8.9,1275,Excellent
3,Atostogų Parkas Hotel,91.0,8.9,2888,Excellent
4,Žilvinas Hotel,106.0,9.1,675,Wonderful
5,Amberton Green Apartments Palanga,68.0,9.0,3249,Wonderful
6,Senoji Hansa Hotel,87.0,9.2,1308,Wonderful
7,Hotel Palanga Camping Compensa,59.0,8.9,1322,Excellent
8,Palangos Vetra,78.0,8.9,1758,Excellent
9,A.V. namai,42.0,9.1,630,Wonderful
10,Arciau Juros,80.0,9.3,274,Wonderful
11,11B Svečių namai Palanga,43.0,8.4,154,Very Good
12,Poilsis Palangoje,56.0,8.1,568,Very Good
13,Muza Hotel,62.0,8.3,1967,Very Good
14,Vila Komoda,137.0,9.4,330,Wonderful
15,Gedimino 1,25.0,9.1,250,Wonderful
16,Palanga Centrum,39.0,8.6,763,Excellent
17,Gamtos apsupty,42.0,9.0,410,Wonderful
18,Palanga Life Balance SPA Hotel,224.0,9.2,1264,Wonderful
19,Guest House & Villa Astoma,59.0,9.1,862,Wonderful
20,Gerika guest house,63.0,9.4,234,Wonderful
21,Holiday Villa Palanga,76.0,9.7,55,Exceptional
22,Vanagupe Spa Resort,151.0,9.0,1113,Wonderful
23,Izabelės apartamentai,35.0,9.2,587,Wonderful
24,Vytauto 80,72.0,9.7,168,Exceptional
25,All Seasons Palanga Apartaments,77.0,9.2,754,Wonderful
26,Vila Komoda,137.0,9.4,330,Wonderful
27,Virginija Guest House,42.0,9.5,196,Exceptional
28,11B Svečių namai Palanga,47.0,8.4,154,Very Good
29,DV Apartments Palanga,67.0,8.6,78,Excellent
30,Šarkutė,52.0,9.8,155,Exceptional
31,Palangos Vetra,85.0,8.9,1758,Excellent
32,Pasaka Palanga,63.0,9.6,242,Exceptional
33,Ramybes sala,38.0,9.4,242,Wonderful
34,Apartamentai Gastrolės,45.0,9.4,143,Wonderful
35,Palangos Dailė,74.0,8.6,544,Excellent
36,Gerves Apartamentai,77.0,9.6,340,Exceptional
